orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,12,1,25,1,53.19764620001661,,53.18298740001046,53.19764620001661,54.19684409999172,54.19684409999172,54.69648980000056,54.69648980000056,54.996507200005,54.996507200005,55.247812100016745,up,1,0.24160029998165555,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,13,0,26,0,55.26267739999457,,55.251911200000905,55.26267739999457,56.26190740001039,56.26190740001039,56.76148040001863,56.76148040001863,57.06119609999587,57.06119609999587,57.29611369999475,down,1,0.22515820001717657,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,13,1,27,1,57.311106100009056,,57.29884500001208,57.311106100009056,58.31015910001588,58.32658399999491,58.8100182999915,58.8100182999915,59.109450399992056,59.109450399992056,59.56015170001774,up,1,0.44086820000666194,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,14,0,28,1,59.575545800005784,,59.56191600000602,59.575545800005784,60.57478260001517,60.57478260001517,61.074398500000825,61.074398500000825,61.37405710000894,61.37405710000894,61.77563089999603,down,1,0.3871062999824062,None,4,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,14,1,29,0,61.79056379999383,,61.7782378999982,61.79056379999383,62.789872399996966,62.789872399996966,63.289587600011146,63.289587600011146,63.58922240001266,63.58922240001266,64.08978790001129,up,0,0.4893551999994088,None,1,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,15,0,30,0,64.1054257999931,,64.09138950001216,64.1054257999931,65.10461520001991,65.10461520001991,65.6041508000053,65.6041508000053,65.90401759999804,65.90401759999804,66.17168679999304,up,1,0.26386219999403693,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,15,1,31,1,66.18726850001258,,66.17341049999231,66.18726850001258,67.18634210000164,67.20281020001858,67.68574899999658,67.68574899999658,67.98551500000758,67.98551500000758,68.18696710001677,down,1,0.18541710000135936,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,16,0,32,1,68.2019791000057,,68.1885348999931,68.2019791000057,69.2012137999991,69.2012137999991,69.70093150000321,69.70093150000321,70.00053390001995,70.00053390001995,70.26813400001265,up,1,0.26048029999947175,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,16,1,33,0,70.28380170001765,,70.27069750000373,70.28380170001765,71.28288040001644,71.29958510000142,71.78263100000913,71.78263100000913,72.08227660000557,72.08227660000557,72.43439539999235,up,1,0.3479473000043072,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,17,0,34,1,72.44867430001614,,72.43808560000616,72.44867430001614,73.44776840001578,73.44776840001578,73.94741379999323,73.94741379999323,74.24704670000938,74.24704670000938,74.61753020001925,up,1,0.36743630000273697,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,17,1,35,0,74.63009970000712,,74.62070570001379,74.63009970000712,75.62925850000465,75.62925850000465,76.1289619000163,76.1289619000163,76.42865050002001,76.42865050002001,76.76250660000369,up,1,0.3298930999881122,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,18,0,36,1,76.77834240000811,,76.764345100004,76.77834240000811,77.77757160001784,77.79431759999716,78.2770651000028,78.2770651000028,78.57682410001871,78.57682410001871,78.82757500000298,up,1,0.23549290001392365,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,18,1,37,0,78.8434222000069,,78.82912130001932,78.8434222000069,79.84245349999401,79.85897550001391,80.34196250000969,80.34196250000969,80.64188110001851,80.64188110001851,80.92767550001736,up,1,0.28030650000437163,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,19,0,38,1,80.94155380001757,,80.93124360000365,80.94155380001757,81.94079739999142,81.94079739999142,82.44041030001245,82.44041030001245,82.74007490000804,82.74007490000804,83.07451080001192,down,1,0.3255433999875095,None,4,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,19,1,39,0,83.08981020000647,,83.07747930000187,83.08981020000647,84.08896349999122,84.08896349999122,84.58972920000087,84.58972920000087,84.88836670000455,84.90481720000389,85.18930440000258,down,1,0.2939589000015985,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,20,0,40,0,85.20448340001167,,85.19179929999518,85.20448340001167,86.20389130001422,86.20389130001422,86.70355199999176,86.70355199999176,87.00314670000807,87.00314670000807,87.2385092000186,up,0,0.23168130000703968,None,1,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,20,1,41,1,87.25279719999526,,87.24042129999725,87.25279719999526,88.25335790001554,88.25335790001554,88.76864850000129,88.75166959999478,89.05135170000722,89.05135170000722,89.21935689999373,up,1,0.16210770001634955,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,21,0,42,0,89.2348750999954,,89.22145440001623,89.2348750999954,90.23390900000231,90.23390900000231,90.73354960000142,90.73354960000142,91.03320629999507,91.03320629999507,91.31775280000875,down,1,0.2686806000128854,None,2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,21,1,43,1,91.3330351000186,,91.31982540001627,91.3330351000186,92.33345170001849,92.33345170001849,92.84825420001289,92.83184480000637,93.13186900000437,93.13186900000437,93.3991891000187,up,1,0.25605940000968985,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,22,0,44,0,93.41470900000422,,93.40136519999942,93.41470900000422,94.41380110001774,94.43053090001922,94.91353320001508,94.91353320001508,95.21316650000517,95.21316650000517,95.44743530001142,up,1,0.22691880000638776,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,22,1,45,1,95.46292920000269,,95.44961870001862,95.46292920000269,96.46214970000437,96.46214970000437,96.96201310001197,96.96201310001197,97.26146820001304,97.26146820001304,97.57894040000974,down,0,0.30439070001011714,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,23,0,46,1,97.59430799999973,,97.58490630000597,97.59430799999973,98.59359289999702,98.59359289999702,99.09307299999637,99.09307299999637,99.39301630001864,99.39301630001864,99.52728969999589,up,1,0.12688870000420138,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,23,1,47,0,99.54275150000467,,99.5299636000127,99.54275150000467,100.54190129999188,100.54190129999188,101.04163469999912,101.04163469999912,101.34184559999267,101.34184559999267,101.67624910001177,down,1,0.32754639998893254,None,-2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,24,0,48,1,101.69124879999436,,101.67797829999472,101.69124879999436,102.69014459999744,102.69014459999744,103.18971090001287,103.18971090001287,103.48988730000565,103.48988730000565,104.04036710000946,up,1,0.5335003999934997,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,24,1,49,0,104.05583490000572,,104.043256200006,104.05583490000572,105.05507140001282,105.05507140001282,105.55473040000652,105.55473040000652,105.85443010000745,105.85443010000745,106.18854350000038,up,0,0.32783419999759644,None,-2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,25,0,50,1,106.20428190001985,,106.19012780001503,106.20428190001985,107.20333489999757,107.21998160000658,107.70288339999388,107.70288339999388,108.0026240000152,108.0026240000152,108.45333370001754,down,1,0.4340533999784384,None,-2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,25,1,51,0,108.4688834999979,,108.45504470000742,108.4688834999979,109.46817609999562,109.46817609999562,109.96784130000742,109.96784130000742,110.26770349999424,110.26770349999424,110.53492320000078,down,1,0.2536557000130415,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,26,0,52,1,110.55061550001847,,110.53713559999596,110.55061550001847,111.54973460000474,111.54973460000474,112.04953980000573,112.04953980000573,112.35023370001,112.35023370001,112.6504108000081,up,1,0.28519969998160377,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,26,1,53,0,112.66554790001828,,112.65321160000167,112.66554790001828,113.66469040000811,113.66469040000811,114.16426340001635,114.16426340001635,114.46410489999107,114.46410489999107,115.26399120001588,down,0,0.7839381999801844,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,27,0,54,1,115.27981559999171,,115.2652156999975,115.27981559999171,116.27892810001504,116.27892810001504,116.77883809999912,116.77883809999912,117.07841980000376,117.07841980000376,117.39662400001544,down,1,0.30710089998319745,None,-4,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,27,1,55,0,117.41157670001849,,117.39865210000426,117.41157670001849,118.41073820000747,118.41073820000747,118.9104913000192,118.9104913000192,119.21011370001361,119.21011370001361,119.51107810001122,up,1,0.28958520002197474,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,28,0,56,0,119.52633439999772,,119.5132159999921,119.52633439999772,120.52603559999261,120.52603559999261,121.02521870000055,121.02521870000055,121.32476479999605,121.32476479999605,121.69256620001397,up,1,0.35448470001574606,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,28,1,57,1,121.70914360001916,,121.69438140001148,121.70914360001916,122.70722490001936,122.72362930001691,123.20695290001458,123.20695290001458,123.50668560000486,123.50668560000486,123.87363509999705,up,1,0.3560818000114523,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,29,0,58,1,123.88966210000217,,123.87517810001737,123.88966210000217,124.88891140001942,124.90552780000144,125.3884737000044,125.3884737000044,125.68816200000583,125.68816200000583,126.02169560000766,up,1,0.3211946999945212,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,29,1,59,0,126.03777260001516,,126.0229404999991,126.03777260001516,127.03700700000627,127.03700700000627,127.53673350001918,127.53673350001918,127.83785770001123,127.83785770001123,128.28735550001147,down,0,0.43786269999691285,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,30,0,60,0,128.3026676000154,,128.2900312000129,128.3026676000154,129.30171800000244,129.30171800000244,129.80142609999166,129.80142609999166,130.10116340001696,130.10116340001696,130.2027682000189,up,1,0.08970109999063425,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
